id,fiyat,platform,cinsiyet,ülke,yaş
78,10,android,female,GBR,26
79,16,ios,male,RUS,63
80,3,ios,male,FRA,65
81,27,android,female,TUR,20
82,48,ios,female,IND,32
83,8,android,male,RUS,31
84,6,android,male,GBR,62
85,41,android,female,RUS,33
86,6,android,male,FRA,51
87,35,ios,female,USA,56
88,43,ios,female,FRA,27
89,18,android,male,RUS,53
90,35,ios,female,BRA,26
91,7,ios,female,TUR,65
92,38,android,female,GBR,53
93,33,ios,male,ESP,56
94,17,android,female,USA,18
95,36,ios,female,DEU,63
96,33,ios,male,IND,28
97,6,android,male,JPN,43
98,43,ios,male,FRA,21
99,49,ios,female,FRA,46
100,42,android,male,JPN,31
101,2,ios,female,GBR,31
102,14,android,male,RUS,63
103,43,ios,female,FRA,64
104,10,ios,female,FRA,65
105,14,android,female,ESP,36
106,19,ios,male,RUS,63
107,30,ios,male,TUR,61
108,19,ios,male,GBR,56
109,15,android,female,TUR,44
110,16,android,male,USA,26
111,1,android,male,USA,64
112,48,ios,female,RUS,58
113,14,ios,female,ESP,36
114,8,android,male,RUS,43
115,9,ios,female,IND,21
116,21,android,male,USA,45
117,9,ios,female,ESP,26
118,3,ios,male,FRA,24
119,11,ios,male,TUR,51
120,31,ios,female,JPN,53
121,42,ios,female,USA,64
122,45,android,female,TUR,31
123,12,ios,female,DEU,34
124,2,android,female,DEU,25
125,22,ios,female,IND,59
126,41,ios,male,GBR,23
127,42,ios,female,JPN,65
128,2,ios,male,BRA,32
129,22,android,male,FRA,25
130,14,ios,female,ESP,30
131,24,ios,male,DEU,46
132,14,ios,female,FRA,63
133,32,ios,male,RUS,39
134,2,ios,female,DEU,54
135,35,android,female,IND,38
136,1,ios,male,ESP,25
137,36,android,male,DEU,54
138,48,android,female,DEU,45
139,22,ios,male,ESP,56
140,45,ios,female,FRA,55
141,17,ios,female,USA,64
142,12,android,male,BRA,21
143,26,android,male,RUS,65
144,26,android,male,DEU,24
145,34,android,male,DEU,48
146,34,ios,female,FRA,21
147,34,android,male,FRA,26
148,3,android,female,IND,64
149,37,android,female,GBR,51
150,26,ios,female,TUR,39
151,40,ios,male,IND,63
152,29,ios,male,GBR,21
153,33,ios,female,USA,32
154,51,ios,male,RUS,35
155,14,android,female,DEU,30
156,8,android,female,TUR,42
157,42,android,female,JPN,26
158,7,ios,male,USA,25
159,27,ios,female,FRA,37
160,15,ios,male,DEU,54
161,45,ios,male,USA,48
162,43,android,male,TUR,33
163,14,ios,male,DEU,37
164,15,ios,male,GBR,62
165,8,ios,female,RUS,24
166,11,android,male,TUR,37
167,1,android,male,TUR,54
168,29,android,male,USA,34
169,35,android,female,ESP,61
170,40,ios,female,GBR,64
171,18,ios,male,TUR,29
172,17,android,female,JPN,38
173,14,ios,male,JPN,62
174,11,android,male,JPN,25
175,3,ios,male,ESP,38
176,31,android,female,JPN,22
177,12,ios,male,ESP,22
178,38,android,female,USA,50
179,11,android,female,FRA,58
180,42,ios,male,RUS,29
181,13,android,male,GBR,48
182,51,ios,female,JPN,20
183,14,android,female,USA,31
184,47,android,male,RUS,57
185,8,android,male,ESP,52
186,44,ios,female,FRA,53
187,19,ios,female,FRA,38
188,19,ios,female,JPN,35
189,9,android,female,BRA,22
190,28,ios,female,IND,59
191,26,android,female,BRA,21
192,33,ios,female,JPN,29
193,34,android,female,GBR,55
194,19,android,male,ESP,62
195,2,android,male,USA,39
196,43,ios,male,TUR,40
197,17,android,male,RUS,31
198,39,ios,male,GBR,40
199,49,ios,male,IND,37
200,40,android,female,BRA,50
201,40,ios,male,RUS,64
202,9,android,male,IND,62
203,47,ios,male,DEU,50
204,12,ios,female,GBR,54
205,11,ios,male,FRA,20
206,33,android,male,DEU,60
207,42,ios,male,USA,43
208,42,ios,female,DEU,22
209,31,ios,male,IND,27
210,28,ios,female,FRA,40
211,35,android,male,BRA,28
212,23,android,male,FRA,23
213,29,ios,female,IND,58
214,25,android,male,USA,51
215,49,android,male,ESP,25
216,6,android,female,RUS,57
217,41,ios,male,JPN,47
218,21,android,female,GBR,53
219,9,android,male,BRA,40
220,26,android,male,RUS,21
221,2,ios,female,FRA,38
222,9,ios,female,DEU,38
223,23,android,male,RUS,30
224,34,ios,female,BRA,61
225,18,android,female,RUS,48
226,24,android,female,JPN,24
227,15,ios,female,GBR,30
228,28,ios,male,FRA,59
229,14,ios,male,DEU,28
230,39,android,male,BRA,57
231,7,ios,male,ESP,48
232,17,android,female,ESP,59
233,6,ios,female,BRA,50
234,16,android,male,IND,35
235,19,android,female,BRA,50
236,18,ios,female,BRA,52
237,9,android,male,ESP,30
238,22,ios,male,ESP,37
239,7,ios,male,BRA,62
240,10,ios,female,USA,63
241,44,android,female,ESP,32
242,6,ios,male,BRA,27
243,43,ios,male,RUS,56
244,11,android,female,FRA,25
245,32,ios,female,TUR,34
246,9,android,male,DEU,51
247,1,ios,female,FRA,45
248,9,ios,male,JPN,38
249,34,android,female,TUR,57
250,7,android,male,TUR,45
251,19,ios,female,RUS,53
252,36,android,female,BRA,43
253,5,ios,male,USA,48
254,11,android,female,BRA,33
255,47,android,female,RUS,42
256,17,android,female,ESP,41
257,42,ios,female,USA,63
258,24,android,male,BRA,51
259,31,ios,male,TUR,22
260,18,android,male,FRA,55
261,32,android,male,USA,46
262,2,ios,male,FRA,40
263,2,ios,male,BRA,32
264,33,android,male,GBR,21
265,50,android,male,JPN,38
266,45,ios,male,FRA,35
267,51,ios,female,JPN,38
268,6,android,male,TUR,57
269,23,android,male,FRA,44
270,3,android,female,DEU,35
271,5,ios,female,IND,31
272,8,android,male,JPN,59
273,32,android,female,DEU,56
274,37,android,male,ESP,49
275,41,ios,female,BRA,44
276,35,ios,male,FRA,60
277,16,ios,female,GBR,50
278,26,ios,female,IND,49
279,19,ios,female,USA,29
280,13,ios,male,ESP,27
281,51,ios,male,ESP,61
282,32,ios,male,USA,54
283,4,ios,female,TUR,63
284,30,ios,male,JPN,28
285,30,ios,female,IND,49
286,47,ios,male,BRA,65
287,4,ios,female,JPN,65
288,30,ios,female,FRA,35
289,48,ios,male,ESP,59
290,47,android,male,FRA,34
291,14,android,female,JPN,38
292,25,ios,female,IND,56
293,20,ios,male,BRA,19
294,9,android,female,GBR,49
295,24,android,male,DEU,64
296,9,ios,male,GBR,21
297,35,android,female,ESP,22
298,49,ios,male,IND,45
299,48,ios,male,FRA,26
300,7,android,female,RUS,33
301,21,ios,female,RUS,44
302,19,ios,female,TUR,61
303,11,ios,male,USA,45
304,30,ios,female,IND,60
305,38,android,male,RUS,32
306,16,ios,female,TUR,38
307,45,ios,male,RUS,58
308,44,ios,female,IND,58
309,48,android,female,DEU,26
310,26,ios,male,BRA,18
311,41,ios,male,RUS,57
312,35,ios,female,IND,36
313,26,ios,female,USA,27
314,38,ios,male,RUS,61
315,15,ios,male,GBR,43
316,20,android,female,DEU,50
317,10,android,female,GBR,36
318,42,android,female,JPN,29
319,36,ios,female,IND,56
320,7,ios,female,BRA,26
321,16,android,female,FRA,43
322,24,android,male,GBR,30
323,22,ios,female,TUR,24
324,5,android,male,FRA,55
325,33,ios,female,RUS,55
326,32,ios,female,GBR,64
327,29,ios,male,BRA,41
328,1,android,female,RUS,56
329,32,android,female,USA,42
330,29,ios,male,USA,22
331,19,ios,female,RUS,63
332,5,ios,male,DEU,38
333,49,android,male,USA,58
334,37,android,male,FRA,42
335,29,ios,female,DEU,37
336,14,android,male,USA,58
337,49,ios,female,DEU,40
338,47,android,male,BRA,38
339,14,android,female,FRA,50
340,13,android,female,JPN,53
341,22,android,female,JPN,19
342,44,android,male,BRA,56
343,33,ios,female,USA,24
344,5,android,female,GBR,36
345,28,ios,female,BRA,18
346,38,ios,female,DEU,60
347,46,android,male,IND,39
348,41,ios,male,ESP,54
349,20,ios,male,IND,53
350,42,android,female,USA,38
351,6,android,female,GBR,65
352,16,ios,female,FRA,23
353,30,android,female,JPN,57
354,42,android,female,DEU,52
355,14,android,female,BRA,53
356,5,ios,female,USA,32
357,6,ios,male,TUR,58
358,23,ios,female,RUS,41
359,35,ios,female,FRA,27
360,13,ios,female,RUS,54
361,46,ios,female,DEU,35
362,8,ios,female,USA,50
363,25,android,female,USA,24
364,7,ios,male,IND,57
365,15,android,male,BRA,40
366,23,ios,female,DEU,38
367,46,android,male,FRA,50
368,14,ios,female,USA,22
369,22,ios,male,JPN,62
370,46,android,female,JPN,50
371,18,ios,female,FRA,50
372,44,android,female,USA,65
373,25,android,female,DEU,42
374,37,ios,male,RUS,46
375,48,ios,male,ESP,25
376,34,android,male,USA,37
377,7,android,female,JPN,40
378,42,ios,female,IND,29
379,44,ios,female,FRA,44
380,19,android,female,FRA,31
381,5,ios,male,GBR,47
382,27,ios,male,BRA,59
383,13,ios,male,FRA,60
384,5,android,male,RUS,22
385,23,android,male,RUS,42
386,20,ios,male,JPN,25
387,22,ios,male,RUS,34
388,35,android,female,FRA,63
389,46,ios,female,FRA,18
390,33,android,male,IND,32
391,51,ios,female,DEU,21
392,34,ios,female,BRA,38
393,8,android,male,DEU,57
394,3,android,female,BRA,56
395,6,ios,female,IND,32
396,3,ios,male,FRA,62
397,24,android,male,ESP,35
398,49,ios,male,USA,46
399,47,ios,female,ESP,21
400,33,ios,male,IND,18
401,41,ios,female,RUS,55
402,9,ios,female,TUR,19
403,29,android,female,TUR,39
404,17,android,male,BRA,25
405,42,android,male,BRA,62
406,34,android,male,DEU,30
407,21,android,female,DEU,51
408,33,android,male,GBR,58
409,39,android,female,IND,55
410,17,ios,male,ESP,37
411,18,ios,male,USA,36
412,20,ios,female,TUR,30
413,35,ios,female,DEU,33
414,1,ios,female,BRA,32
415,13,android,female,BRA,64
416,15,android,female,GBR,28
417,34,android,female,ESP,18
418,25,ios,female,TUR,56
419,31,ios,male,BRA,19
420,47,android,female,RUS,22
421,19,android,female,DEU,26
422,30,ios,female,GBR,65
423,47,android,female,DEU,64
424,21,ios,female,JPN,50
425,17,ios,male,USA,35
426,38,android,female,IND,34
427,39,android,female,USA,52
428,49,ios,male,BRA,53
429,22,android,male,JPN,21
430,3,ios,male,RUS,26
431,46,ios,female,TUR,20
432,15,ios,male,DEU,54
433,8,ios,female,BRA,28
434,6,ios,female,USA,53
435,12,android,male,ESP,26
436,49,ios,male,JPN,63
437,21,ios,female,JPN,25
438,30,android,male,ESP,26
439,49,ios,female,USA,46
440,11,android,female,DEU,55
441,19,ios,male,FRA,39
442,8,android,male,DEU,62
443,19,ios,female,JPN,23
444,19,android,male,GBR,35
445,1,ios,male,FRA,20
446,43,ios,female,USA,55
447,41,ios,female,DEU,63
448,46,ios,female,ESP,58
449,27,ios,male,TUR,25
450,4,ios,female,BRA,24
451,43,android,male,RUS,40
452,5,ios,female,BRA,25
453,14,ios,female,FRA,21
454,13,ios,female,TUR,29
455,44,ios,female,JPN,19
456,20,ios,male,JPN,62
457,40,ios,female,FRA,58
458,6,ios,female,IND,51
459,17,android,male,IND,58
460,9,ios,female,TUR,27
461,27,android,male,DEU,55
462,29,android,female,GBR,47
463,22,android,female,FRA,39
464,45,android,female,USA,28
465,47,ios,male,JPN,24
466,21,android,female,RUS,58
467,35,android,male,USA,51
468,19,ios,female,IND,24
469,9,android,male,GBR,57
470,16,android,female,USA,23
471,38,ios,male,JPN,55
472,5,ios,male,USA,32
473,41,ios,female,ESP,61
474,48,ios,male,JPN,61
475,4,ios,female,TUR,32
476,30,ios,female,RUS,21
477,27,ios,male,USA,63
478,18,android,male,IND,27
479,14,android,male,BRA,51
480,41,android,female,JPN,65
481,6,ios,male,ESP,18
482,2,android,female,USA,29
483,51,android,male,DEU,22
484,13,ios,male,RUS,60
485,25,android,female,DEU,25
486,28,ios,female,ESP,60
487,19,ios,female,JPN,45
488,37,ios,male,USA,25
489,12,android,male,TUR,53
490,38,android,male,RUS,32
491,12,ios,female,BRA,41
492,11,ios,female,RUS,19
493,46,ios,female,GBR,65
494,17,android,female,ESP,64
495,8,ios,male,ESP,29
496,10,ios,male,JPN,57
497,3,ios,male,DEU,31
498,11,android,male,JPN,26
499,20,ios,male,FRA,48
500,9,android,female,GBR,42
501,16,ios,male,USA,33
502,45,ios,male,IND,42
503,14,android,female,RUS,60
504,35,android,female,FRA,50
505,41,ios,male,TUR,52
506,16,android,female,RUS,57
507,22,ios,male,GBR,54
508,40,ios,male,USA,52
509,12,ios,male,FRA,40
510,24,ios,male,GBR,47
511,14,ios,male,GBR,40
512,34,android,male,ESP,32
513,49,android,female,DEU,51
514,33,android,male,JPN,64
515,39,ios,female,TUR,58
516,41,ios,female,BRA,52
517,32,android,male,USA,35
518,15,android,male,DEU,52
519,13,ios,female,JPN,54
520,22,android,female,USA,40
521,13,ios,male,IND,34
522,49,android,female,FRA,26
523,42,ios,female,TUR,28
524,17,android,female,IND,39
525,12,android,male,GBR,20
526,45,ios,male,IND,32
527,48,android,male,FRA,36
528,4,android,male,BRA,42
529,14,ios,male,USA,28
530,19,ios,male,ESP,24
531,50,ios,female,JPN,52
532,47,ios,female,TUR,41
533,40,android,male,IND,30
534,15,android,male,ESP,48
535,43,ios,female,GBR,57
536,20,ios,male,GBR,45
537,17,ios,female,ESP,29
538,13,android,male,RUS,43
539,23,android,male,JPN,47
540,24,ios,female,DEU,38
541,2,android,male,RUS,54
542,28,ios,female,JPN,19
543,38,android,female,BRA,42
544,19,ios,male,IND,18
545,10,android,female,ESP,52
546,33,ios,male,TUR,51
547,18,ios,female,DEU,32
548,31,ios,female,USA,62
549,39,ios,female,IND,48
550,2,ios,female,USA,43
551,16,ios,female,FRA,35
552,28,ios,male,IND,39
553,25,android,female,ESP,22
554,51,android,female,BRA,40
555,21,android,male,TUR,49
556,34,ios,female,DEU,23
557,49,ios,female,TUR,44
558,12,android,female,BRA,55
559,3,ios,female,DEU,31
560,36,ios,male,JPN,51
561,28,android,male,DEU,53
562,44,ios,female,IND,64
563,9,android,female,USA,22
564,31,android,male,RUS,38
565,18,ios,female,USA,63
566,18,ios,female,IND,65
567,29,ios,male,JPN,56
568,32,ios,female,TUR,34
569,11,android,male,RUS,42
570,1,ios,female,RUS,22
571,46,ios,male,FRA,21
572,9,ios,female,IND,51
573,6,ios,female,RUS,26
574,10,ios,female,GBR,19
575,47,ios,female,TUR,53
576,33,ios,female,BRA,42
577,51,ios,male,GBR,48
578,2,android,female,BRA,19
579,41,ios,male,BRA,18
580,48,android,male,JPN,53
581,5,android,female,GBR,30
582,6,android,male,RUS,57
583,28,android,female,DEU,26
584,3,ios,male,TUR,41
585,14,android,female,DEU,46
586,16,ios,male,RUS,39
587,14,ios,male,IND,27
588,44,ios,female,USA,32
589,35,android,male,USA,63
590,24,android,male,FRA,40
591,26,android,female,RUS,41
592,11,android,male,TUR,63
593,9,ios,female,BRA,39
594,8,android,female,DEU,48
595,30,ios,female,IND,46
596,3,ios,female,RUS,34
597,18,ios,female,DEU,35
598,38,android,male,JPN,47
599,39,ios,male,TUR,29
600,29,android,male,IND,43
601,13,ios,male,USA,57
602,20,android,female,ESP,48
603,48,android,female,GBR,24
604,43,ios,female,IND,43
605,22,android,female,IND,34
606,8,ios,female,ESP,43
607,7,ios,female,ESP,47
608,20,android,female,USA,20
609,21,ios,male,TUR,49
610,38,android,male,USA,45
611,2,ios,female,TUR,52
612,18,android,male,JPN,33
613,35,ios,male,JPN,25
614,37,ios,male,RUS,61
615,12,ios,female,DEU,44
616,1,android,female,BRA,48
617,25,android,male,RUS,43
618,18,android,female,RUS,65
619,38,android,male,ESP,57
620,42,ios,male,TUR,51
621,27,ios,female,GBR,47
622,35,ios,male,USA,30
623,6,android,male,DEU,61
624,3,android,male,BRA,24
625,43,android,female,DEU,38
626,43,android,female,RUS,37
627,17,android,female,TUR,44
628,27,ios,female,ESP,62
629,13,ios,female,GBR,22
630,38,android,male,IND,21
631,20,ios,male,BRA,54
632,39,android,female,JPN,36
633,16,ios,female,GBR,42
634,45,android,male,IND,53
635,2,android,male,FRA,49
636,36,ios,male,TUR,20
637,43,android,female,IND,31
638,12,ios,male,TUR,64
639,44,android,male,FRA,62
640,13,android,female,IND,23
641,32,android,male,DEU,29
642,50,android,male,TUR,47
643,18,android,female,IND,46
644,16,android,male,ESP,40
645,36,android,male,JPN,57
646,42,ios,female,FRA,23
647,10,android,female,JPN,35
648,22,ios,female,BRA,59
649,20,android,male,RUS,57
650,5,ios,male,IND,35
651,17,ios,male,GBR,57
652,13,android,female,JPN,61
653,1,android,male,JPN,42
654,29,android,male,JPN,34
655,3,ios,female,RUS,46
656,9,ios,male,TUR,48
657,13,ios,female,DEU,27
658,50,ios,female,BRA,62
659,30,android,male,JPN,28
660,7,ios,male,GBR,28
661,24,ios,male,IND,59
662,1,android,male,DEU,34
663,44,ios,female,FRA,63
664,43,android,female,USA,45
665,33,ios,female,USA,45
666,50,ios,male,IND,36
667,43,android,female,IND,43
668,14,android,male,BRA,36
669,38,ios,female,JPN,19
670,27,ios,female,BRA,62
671,27,android,female,ESP,64
672,20,android,female,BRA,60
673,37,android,female,RUS,27
674,47,android,female,DEU,31
675,18,ios,male,GBR,49
676,8,android,female,JPN,40
677,41,ios,female,RUS,61
678,12,ios,male,RUS,65
679,17,android,female,GBR,36
680,37,ios,female,USA,22
681,40,android,male,RUS,43
682,37,android,female,IND,43
683,45,ios,female,TUR,40
684,19,ios,male,USA,23
685,40,ios,female,USA,42
686,8,ios,female,USA,58
687,6,android,male,JPN,37
688,10,android,female,FRA,19
689,7,android,female,DEU,25
690,6,ios,male,USA,59
691,51,ios,male,BRA,27
692,43,ios,female,BRA,56
693,21,android,female,IND,23
694,16,ios,male,ESP,32
695,51,ios,male,USA,64
696,1,ios,male,FRA,43
697,46,ios,female,JPN,53
698,10,android,male,IND,49
699,15,android,male,TUR,28
700,19,android,male,JPN,29
701,48,android,female,IND,27
702,17,ios,female,IND,28
703,12,ios,female,TUR,59
704,26,android,female,FRA,53
705,16,ios,male,DEU,24
706,33,ios,female,BRA,27
707,48,ios,female,ESP,45
708,35,ios,male,USA,27
709,2,android,female,ESP,53
710,41,android,male,FRA,52
711,43,android,male,RUS,55
712,10,ios,female,GBR,44
713,42,android,female,BRA,57
714,9,android,female,DEU,24
715,24,ios,female,JPN,56
716,28,ios,male,BRA,47
717,4,android,male,GBR,27
718,41,ios,female,FRA,27
719,8,android,male,ESP,60
720,34,ios,male,RUS,48
721,29,ios,male,JPN,23
722,16,android,male,TUR,57
723,1,ios,female,IND,38
724,37,android,female,RUS,62
725,10,android,male,BRA,21
726,18,android,female,ESP,65
727,24,android,male,ESP,49
728,11,ios,male,IND,61
729,9,android,male,FRA,62
730,16,android,male,ESP,57
731,37,android,male,GBR,22
732,14,android,male,GBR,34
733,38,android,female,TUR,52
734,40,ios,female,TUR,54
735,7,android,male,RUS,32
736,34,android,male,GBR,56
737,15,ios,female,IND,26
738,12,android,male,GBR,41
739,44,android,female,FRA,33
740,50,android,male,FRA,53
741,2,android,male,RUS,47
742,22,android,female,TUR,47
743,51,android,male,USA,57
744,23,android,male,USA,47
745,12,ios,male,JPN,48
746,24,android,female,BRA,49
747,13,android,male,IND,45
748,43,ios,male,RUS,58
749,41,android,male,USA,25
750,4,android,female,FRA,40
751,5,android,female,DEU,53
752,19,ios,male,FRA,24
753,39,ios,female,FRA,59
754,12,ios,male,RUS,23
755,8,android,female,DEU,40
756,32,android,male,GBR,54
757,8,ios,male,IND,27
758,10,android,male,RUS,64
759,42,ios,female,BRA,57
760,28,ios,female,GBR,22
761,39,android,male,RUS,43
762,13,ios,male,GBR,23
763,39,ios,male,JPN,32
764,25,android,male,FRA,30
765,24,ios,female,USA,63
766,4,android,male,DEU,63
767,36,android,female,FRA,29
768,12,android,male,BRA,60
769,28,ios,male,GBR,18
770,6,android,female,ESP,48
771,10,android,male,IND,34
772,16,android,male,DEU,38
773,5,android,female,FRA,62
774,50,android,female,ESP,44
775,26,ios,female,ESP,57
776,38,android,female,JPN,25
777,30,android,male,ESP,44
778,51,ios,female,DEU,50
779,50,ios,female,RUS,32
780,4,ios,female,USA,49
781,44,ios,female,USA,56
782,22,android,female,GBR,18
783,41,android,male,GBR,46
784,24,android,female,TUR,57
785,6,android,female,JPN,63
786,12,android,male,JPN,44
787,49,ios,female,GBR,21
788,40,android,male,GBR,64
789,5,ios,male,BRA,64
790,44,android,male,ESP,24
791,34,android,female,FRA,52
792,22,ios,female,IND,48
793,34,android,female,JPN,44
794,35,ios,female,GBR,25
795,51,ios,female,ESP,59
796,42,android,female,DEU,33
797,46,android,male,IND,24
798,14,ios,male,RUS,54
799,22,android,female,DEU,63
800,48,android,male,USA,47
801,39,android,female,BRA,50
802,41,ios,male,FRA,33
803,47,ios,male,BRA,23
804,28,ios,female,GBR,29
805,41,ios,female,BRA,18
806,30,ios,male,FRA,34
807,3,android,male,JPN,38
808,5,android,male,IND,36
809,38,ios,male,FRA,37
810,13,android,male,IND,33
811,7,android,male,TUR,38
812,4,android,female,BRA,59
813,39,android,female,USA,43
814,16,ios,male,GBR,33
815,27,ios,male,USA,21
816,8,ios,male,JPN,62
817,20,ios,male,FRA,19
818,11,android,female,FRA,49
819,36,android,male,DEU,43
820,21,android,male,JPN,33
821,14,ios,male,DEU,59
822,23,android,female,DEU,52
823,13,android,male,GBR,56
824,40,ios,female,FRA,32
825,7,ios,male,GBR,26
826,44,android,female,TUR,30
827,31,ios,female,FRA,19
828,45,android,male,RUS,26
829,1,android,female,DEU,57
830,21,ios,female,RUS,29
831,15,ios,female,RUS,48
832,38,android,female,TUR,26
833,15,ios,female,TUR,37
834,17,android,female,RUS,22
835,40,ios,female,USA,56
836,43,android,female,FRA,51
837,44,android,female,IND,62
838,40,ios,female,ESP,19
839,1,android,female,ESP,18
840,49,android,female,GBR,59
841,36,ios,male,IND,35
842,4,android,female,IND,60
843,13,android,male,USA,18
844,18,android,male,IND,40
845,4,android,male,BRA,27
846,32,ios,male,IND,50
847,21,android,female,IND,48
848,7,android,male,TUR,22
849,25,ios,male,DEU,34
850,3,ios,male,ESP,55
851,28,android,female,USA,47
852,18,ios,female,GBR,49
853,21,android,female,ESP,48
854,23,ios,female,TUR,35
855,29,ios,male,ESP,53
856,6,android,female,FRA,30
857,13,ios,male,BRA,29
858,41,android,female,BRA,20
859,25,ios,female,ESP,55
860,22,ios,female,USA,32
861,4,ios,male,ESP,42
862,25,android,male,FRA,47
863,6,ios,male,TUR,61
864,5,android,female,RUS,22
865,3,android,female,GBR,33
866,36,android,female,JPN,53
867,46,ios,female,RUS,49
868,4,android,male,TUR,46
869,31,android,female,IND,59
870,2,android,female,USA,52
871,14,android,male,USA,29
872,51,ios,female,GBR,36
873,3,ios,male,USA,63
874,33,android,male,JPN,63
875,42,ios,male,GBR,32
876,16,android,male,FRA,62
877,20,ios,male,USA,43
878,48,android,male,DEU,37
879,13,android,male,DEU,24
880,14,ios,male,GBR,61
881,2,ios,male,JPN,42
882,27,ios,female,USA,31
883,1,android,female,IND,48
884,21,ios,female,TUR,29
885,34,ios,female,USA,23
886,6,ios,female,ESP,24
887,15,android,female,RUS,51
888,26,ios,female,ESP,49
889,50,android,female,ESP,47
890,49,android,female,FRA,42
891,49,ios,male,FRA,34
892,15,android,female,RUS,61
893,31,ios,male,ESP,43
894,3,android,female,FRA,60
895,28,android,male,BRA,27
896,33,android,male,DEU,52
897,39,ios,female,TUR,26
898,29,android,female,ESP,22
899,21,ios,male,USA,53
900,37,ios,female,RUS,33
901,10,ios,female,FRA,23
902,40,ios,male,BRA,35
903,26,android,female,IND,31
904,14,ios,female,JPN,52
905,47,ios,male,GBR,27
906,38,android,male,DEU,42
907,26,ios,female,BRA,44
908,6,ios,male,FRA,29
909,47,ios,female,FRA,59
910,32,ios,female,BRA,58
911,44,ios,female,USA,41
912,3,android,female,USA,50
913,4,ios,female,FRA,27
914,1,ios,female,JPN,38
915,26,ios,female,IND,52
916,2,ios,female,FRA,51
917,1,ios,female,JPN,26
918,2,android,female,JPN,56
919,37,ios,male,JPN,57
920,41,android,male,FRA,29
921,33,ios,female,FRA,45
922,43,android,female,BRA,40
923,4,ios,male,RUS,59
924,19,ios,male,TUR,21
925,6,ios,male,BRA,42
926,24,ios,male,GBR,18
927,47,android,male,USA,26
928,34,ios,male,RUS,62
929,6,ios,male,JPN,63
930,48,android,male,GBR,50
931,34,ios,female,IND,57
932,19,android,male,TUR,58
933,27,ios,male,USA,57
934,7,ios,male,USA,56
935,26,android,female,FRA,64
936,34,ios,female,TUR,58
937,39,ios,male,BRA,40
938,40,ios,male,GBR,57
939,33,android,male,FRA,31
940,37,ios,male,TUR,28
941,42,ios,male,FRA,29
942,14,android,male,DEU,30
943,19,ios,female,GBR,38
944,36,android,male,JPN,52
945,16,android,female,JPN,64
946,4,android,male,USA,28
947,32,ios,male,FRA,34
948,31,android,male,ESP,24
949,36,ios,male,DEU,47
950,34,ios,female,JPN,23
951,24,android,female,ESP,57
952,45,ios,female,RUS,57
953,27,android,male,IND,42
954,46,android,female,TUR,55
955,14,android,male,USA,37
956,25,android,male,ESP,65
957,44,ios,male,DEU,56
958,28,android,female,BRA,64
959,16,android,male,TUR,60
960,7,android,male,BRA,25
961,9,ios,female,GBR,43
962,12,android,female,DEU,29
963,20,ios,male,ESP,52
964,7,android,female,DEU,56
965,50,ios,male,TUR,56
966,42,ios,male,USA,59
967,29,ios,female,TUR,52
968,6,android,male,USA,38
969,44,ios,male,DEU,30
970,13,ios,male,FRA,39
971,19,android,male,TUR,24
972,42,ios,male,TUR,54
973,20,android,female,ESP,21
